Bain CM360 Report

Date/Time Generated,3/3/26 9:45 PM
Report Time Zone,Europe/London
Account ID,2558272
Date Range,1/1/25 - 2/28/26
MRC Accredited Metrics,"Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Rich Media, Mobile Video)",Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Month,Campaign,Site (CM360),Placement,Placement ID,Impressions,Clicks
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_300x250,413951428,4,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_300x600,413951422,4,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_Interscroller,414120185,1,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_300x250,413951440,4,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_300x600,413951434,5,2
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_Interscroller,414120188,2,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x250,413951419,2,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x600,413951416,4,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_Interscroller,414120182,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_300x250,413951371,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_300x600,413951368,7,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_Interscroller,413957965,1,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience_Display_300x250,413951377,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience_Display_300x600,413951374,6,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience_Display_Interscroller,413957977,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_300x250,413951365,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_300x600,413951362,9,0
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Subscribers_Display_Interscroller,413957953,1,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Audience+Contextual_Display_300x250,413951353,6,2
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Audience+Contextual_Display_300x600,414103421,7,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Audience_Display_300x250,413951359,3,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Audience_Display_300x600,413951356,7,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Subscribers_Display_300x250,414103415,2,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Subscribers_Display_300x600,413951437,6,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier1_Subscribers_Display_Interscroller,414120200,1,0
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Audience+Contextual_Display_300x250,414103418,4,1
2025-01,Bain Global Central Brand Campaign 2025,The Economist,Economist_EMEATier2_Audience+Contextual_Display_300x600,413951443,3,0
